experiment,stress_name,stress_label,seed,rep,status,analysis_role,is_formal_inference,space,pca_d,pca_var,prefix_ep,N_pts,geo_Lobs,geo_null_med,geo_null_max,geo_TSR,geo_pperm,geo_pct,geo_zrob,geo_delta,geo_zero_frac,geo_null_collapsed,geo_zrob_collapsed,geo_fallback,geo_separation_flag,geo_formal_trigger,geo_nominal_trigger,euc_Lobs,euc_null_med,euc_null_max,euc_TSR,euc_pperm,euc_pct,euc_zrob,euc_delta,euc_zero_frac,euc_null_collapsed,euc_zrob_collapsed,euc_fallback,euc_separation_flag,euc_formal_trigger,euc_nominal_trigger,decision,train_loss,val_loss,val_acc,kinematic_R,path_length,net_displacement,d_full
stress,edge_of_stability,EoS,2042,2,ok,formal_matched_step,True,full,321290,1.0,200,200,0.0,0.0,3.677979111671448e-05,0.0,1.0,0.0,0.0,-3.677979111671448e-05,0.995,True,True,False,False,False,False,0.0,0.0,0.00026109814643859863,0.0,1.0,0.0,0.0,-0.00026109814643859863,0.995,True,True,False,False,False,False,matched_step_non_detection,0.6512718796730042,0.7083430886268616,75.81999969482422,3.4775572679624642,49.89470672607422,14.347630500793457,321290
stress,edge_of_stability,EoS,2042,2,ok,projection_diagnostic,False,pca,2,0.957886278629303,100,100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_non_trigger,0.9741334319114685,0.959613561630249,66.91000366210938,1.0922247565204168,10.446552276611328,9.564471244812012,321290
stress,edge_of_stability,EoS,2042,2,ok,projection_diagnostic,False,pca,2,0.957886278629303,150,150,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_non_trigger,0.7802470922470093,0.8071117401123047,72.13999938964844,1.211381286564376,14.646208763122559,12.090502738952637,321290
stress,edge_of_stability,EoS,2042,2,ok,projection_diagnostic,False,pca,2,0.957886278629303,200,200,0.0,0.0,0.00032799132168293,0.0,1.0,0.0,0.0,-0.00032799132168293,0.99,True,True,False,False,False,False,0.0,0.0,0.0013386905193328857,0.0,1.0,0.0,0.0,-0.0013386905193328857,0.99,True,True,False,False,False,False,pca_non_trigger,0.6512718796730042,0.7083430886268616,75.81999969482422,1.2572495878962449,17.50632667541504,13.924304962158203,321290
stress,edge_of_stability,EoS,2042,2,ok,projection_diagnostic,False,pca,3,0.9834066033363342,100,100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_non_trigger,0.9741334319114685,0.959613561630249,66.91000366210938,1.239597738390568,11.958626747131348,9.647183418273926,321290
stress,edge_of_stability,EoS,2042,2,ok,projection_diagnostic,False,pca,3,0.9834066033363342,150,150,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_non_trigger,0.7802470922470093,0.8071117401123047,72.13999938964844,1.3311516914668635,16.239896774291992,12.199884414672852,321290
stress,edge_of_stability,EoS,2042,2,ok,projection_diagnostic,False,pca,3,0.9834066033363342,200,200,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_non_trigger,0.6512718796730042,0.7083430886268616,75.81999969482422,1.363706732848353,19.43922996520996,14.25469970703125,321290
stress,edge_of_stability,EoS,2042,2,ok,projection_diagnostic,False,pca,4,0.9914456009864807,100,100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_non_trigger,0.9741334319114685,0.959613561630249,66.91000366210938,1.3187341796018799,12.806648254394531,9.711318969726562,321290
stress,edge_of_stability,EoS,2042,2,ok,projection_diagnostic,False,pca,4,0.9914456009864807,150,150,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_non_trigger,0.7802470922470093,0.8071117401123047,72.13999938964844,1.3946670932996164,17.150793075561523,12.297410011291504,321290
stress,edge_of_stability,EoS,2042,2,ok,projection_diagnostic,False,pca,4,0.9914456009864807,200,200,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_non_trigger,0.6512718796730042,0.7083430886268616,75.81999969482422,1.4375985099588442,20.508132934570312,14.265549659729004,321290
stress,edge_of_stability,EoS,2042,2,ok,projection_diagnostic,False,pca,10,0.9976939558982849,100,100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_non_trigger,0.9741334319114685,0.959613561630249,66.91000366210938,1.4854726079856533,14.560446739196777,9.801895141601562,321290
stress,edge_of_stability,EoS,2042,2,ok,projection_diagnostic,False,pca,10,0.9976939558982849,150,150,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_non_trigger,0.7802470922470093,0.8071117401123047,72.13999938964844,1.5453367528463136,19.079853057861328,12.346728324890137,321290
