arch,optimizer,seed,rep,k_value,filtration_pct,analysis_role,is_formal_inference,d_full,kinematic_R,n_nulls_used,geo_Lobs,geo_null_med,geo_null_max,geo_TSR,geo_pperm,geo_pct,geo_zrob,geo_delta,geo_zero_frac,geo_null_collapsed,geo_zrob_collapsed,geo_fallback,geo_separation_flag,geo_formal_trigger,geo_nominal_trigger,geo_k_used_obs,geo_null_k_min,geo_null_k_median,geo_null_k_max,geo_null_k_near_complete_frac,euc_Lobs,euc_null_med,euc_null_max,euc_TSR,euc_pperm,euc_pct,euc_zrob,euc_delta,euc_zero_frac,euc_null_collapsed,euc_zrob_collapsed,euc_fallback,euc_separation_flag,euc_formal_trigger,euc_nominal_trigger,decision,elapsed_sec
resnet18_cifar10,adam,20242,0,8,90.0,metric_sensitivity,False,11173962,8.632819760441034,50,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,8,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,sensitivity_non_trigger,21.840299367904663
resnet18_cifar10,adam,20242,0,8,95.0,metric_sensitivity,False,11173962,8.632819760441034,50,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,8,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,sensitivity_non_trigger,21.155111074447632
resnet18_cifar10,adam,20242,0,8,99.0,metric_sensitivity,False,11173962,8.632819760441034,50,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,8,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,sensitivity_non_trigger,21.49016785621643
resnet18_cifar10,adam,20242,0,10,90.0,metric_sensitivity,False,11173962,8.632819760441034,50,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,10,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,sensitivity_non_trigger,20.85527491569519
resnet18_cifar10,adam,20242,0,10,95.0,metric_sensitivity,False,11173962,8.632819760441034,50,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,10,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,sensitivity_non_trigger,21.220752000808716
resnet18_cifar10,adam,20242,0,10,99.0,metric_sensitivity,False,11173962,8.632819760441034,50,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,10,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,sensitivity_non_trigger,21.489046096801758
resnet18_cifar10,adam,20242,0,12,90.0,metric_sensitivity,False,11173962,8.632819760441034,50,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,sensitivity_non_trigger,20.902091026306152
resnet18_cifar10,adam,20242,0,12,95.0,metric_sensitivity,False,11173962,8.632819760441034,50,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,sensitivity_non_trigger,21.243722915649414
resnet18_cifar10,adam,20242,0,12,99.0,metric_sensitivity,False,11173962,8.632819760441034,50,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,sensitivity_non_trigger,21.494942665100098
resnet18_cifar10,adam,20242,0,16,90.0,metric_sensitivity,False,11173962,8.632819760441034,50,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,16,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,sensitivity_non_trigger,20.956976413726807
resnet18_cifar10,adam,20242,0,16,95.0,metric_sensitivity,False,11173962,8.632819760441034,50,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,16,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,sensitivity_non_trigger,21.267126083374023
resnet18_cifar10,adam,20242,0,16,99.0,metric_sensitivity,False,11173962,8.632819760441034,50,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,16,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,sensitivity_non_trigger,21.557947635650635
