arch,optimizer,seed,rep,k_value,filtration_pct,analysis_role,is_formal_inference,d_full,kinematic_R,n_nulls_used,geo_Lobs,geo_null_med,geo_null_max,geo_TSR,geo_pperm,geo_pct,geo_zrob,geo_delta,geo_zero_frac,geo_null_collapsed,geo_zrob_collapsed,geo_fallback,geo_separation_flag,geo_formal_trigger,geo_nominal_trigger,geo_k_used_obs,geo_null_k_min,geo_null_k_median,geo_null_k_max,geo_null_k_near_complete_frac,euc_Lobs,euc_null_med,euc_null_max,euc_TSR,euc_pperm,euc_pct,euc_zrob,euc_delta,euc_zero_frac,euc_null_collapsed,euc_zrob_collapsed,euc_fallback,euc_separation_flag,euc_formal_trigger,euc_nominal_trigger,decision,elapsed_sec
smallcnn_cifar10,sgd_momentum,11142,1,8,90.0,metric_sensitivity,False,321290,4.104092807785076,200,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,8,8.0,8.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,sensitivity_non_trigger,13.084197998046875
smallcnn_cifar10,sgd_momentum,11142,1,8,95.0,metric_sensitivity,False,321290,4.104092807785076,200,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,8,8.0,8.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,sensitivity_non_trigger,14.315040111541748
smallcnn_cifar10,sgd_momentum,11142,1,8,99.0,metric_sensitivity,False,321290,4.104092807785076,200,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,8,8.0,8.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,sensitivity_non_trigger,15.40328598022461
smallcnn_cifar10,sgd_momentum,11142,1,10,90.0,metric_sensitivity,False,321290,4.104092807785076,200,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,10,10.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,sensitivity_non_trigger,12.99955415725708
smallcnn_cifar10,sgd_momentum,11142,1,10,95.0,metric_sensitivity,False,321290,4.104092807785076,200,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,10,10.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,sensitivity_non_trigger,14.259449243545532
smallcnn_cifar10,sgd_momentum,11142,1,10,99.0,metric_sensitivity,False,321290,4.104092807785076,200,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,10,10.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,sensitivity_non_trigger,15.370957374572754
smallcnn_cifar10,sgd_momentum,11142,1,12,90.0,metric_sensitivity,False,321290,4.104092807785076,200,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,sensitivity_non_trigger,13.06294322013855
smallcnn_cifar10,sgd_momentum,11142,1,12,95.0,metric_sensitivity,False,321290,4.104092807785076,200,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,sensitivity_non_trigger,14.326441287994385
smallcnn_cifar10,sgd_momentum,11142,1,12,99.0,metric_sensitivity,False,321290,4.104092807785076,200,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,sensitivity_non_trigger,15.433949947357178
smallcnn_cifar10,sgd_momentum,11142,1,16,90.0,metric_sensitivity,False,321290,4.104092807785076,200,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,16,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,sensitivity_non_trigger,13.220174789428711
smallcnn_cifar10,sgd_momentum,11142,1,16,95.0,metric_sensitivity,False,321290,4.104092807785076,200,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,16,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,sensitivity_non_trigger,14.488941669464111
smallcnn_cifar10,sgd_momentum,11142,1,16,99.0,metric_sensitivity,False,321290,4.104092807785076,200,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,16,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,sensitivity_non_trigger,15.591089963912964
