arch,optimizer,seed,lag,acf_mag,cos_sim
mlp2_mnist,sgd,42,0,1.0,1.0
mlp2_mnist,sgd,42,1,0.7131495053709553,0.9028744209992942
mlp2_mnist,sgd,42,2,0.5804222175919196,0.9220226041249134
mlp2_mnist,sgd,42,3,0.5037828882680516,0.9185428689689791
mlp2_mnist,sgd,42,4,0.45390190771634703,0.9169844338669056
mlp2_mnist,sgd,42,5,0.4183622647841592,0.9140041421693812
mlp2_mnist,sgd,42,6,0.39239632055768126,0.910954058218203
mlp2_mnist,sgd,42,7,0.3719889495524709,0.9097952592218101
mlp2_mnist,sgd,42,8,0.3557958366373789,0.9067700450709572
mlp2_mnist,sgd,42,9,0.3413053327808647,0.9039798052161434
mlp2_mnist,sgd,42,10,0.32929441431187645,0.9015687539489681
mlp2_mnist,sgd,42,11,0.3190699692137732,0.8964477657027147
mlp2_mnist,sgd,42,12,0.30968267176001274,0.8973346729541771
mlp2_mnist,sgd,42,13,0.3020896082168122,0.8920081230551574
mlp2_mnist,sgd,42,14,0.2944320791125534,0.8900662769089939
mlp2_mnist,sgd,42,15,0.2873241677941759,0.8887560073846328
mlp2_mnist,sgd,42,16,0.2805717080873755,0.8850673993363033
mlp2_mnist,sgd,42,17,0.27421338728809663,0.8842731265763168
mlp2_mnist,sgd,42,18,0.26742571169486085,0.8795941531058403
mlp2_mnist,sgd,42,19,0.2612527154630416,0.8777112838801256
mlp2_mnist,sgd,42,20,0.25564597854723586,0.8797675820060685
mlp2_mnist,sgd,42,21,0.24990267343466327,0.8713367817918056
mlp2_mnist,sgd,42,22,0.243080490110843,0.8726672768327929
mlp2_mnist,sgd,42,23,0.23730535010157813,0.8700270963838803
mlp2_mnist,sgd,42,24,0.23213163959282532,0.867604876380519
mlp2_mnist,sgd,42,25,0.2267106288882495,0.8638155191928988
mlp2_mnist,sgd,42,26,0.221923403613905,0.862556143394169
mlp2_mnist,sgd,42,27,0.2165341610729209,0.8608676786070669
mlp2_mnist,sgd,42,28,0.21214868565862885,0.8563590352221675
mlp2_mnist,sgd,42,29,0.20801814203067803,0.8604096245135707
mlp2_mnist,sgd,42,30,0.20164603326522024,0.8520370133714741
mlp2_mnist,sgd,42,31,0.19590772456008732,0.8518957639662471
mlp2_mnist,sgd,42,32,0.1915635413365628,0.8480915750330752
mlp2_mnist,sgd,42,33,0.18637409041847275,0.8492687892076178
mlp2_mnist,sgd,42,34,0.18076809983540962,0.8448398177917587
mlp2_mnist,sgd,42,35,0.17623890322633629,0.8431124635286091
mlp2_mnist,sgd,42,36,0.170984153696904,0.8390287902103482
mlp2_mnist,sgd,42,37,0.1656919469817431,0.8406511334292085
mlp2_mnist,sgd,42,38,0.1604765985796148,0.8373414073715701
mlp2_mnist,sgd,42,39,0.1562264392720279,0.8323543782861285
mlp2_mnist,sgd,42,40,0.1521237591803319,0.8340241093876779
mlp2_mnist,sgd,1042,0,1.0,1.0
mlp2_mnist,sgd,1042,1,0.7111499915962236,0.8985859957144002
mlp2_mnist,sgd,1042,2,0.5792284659209479,0.9181779385643218
mlp2_mnist,sgd,1042,3,0.5025996654403311,0.9109753810441225
mlp2_mnist,sgd,1042,4,0.45359541625462674,0.9159802793845985
mlp2_mnist,sgd,1042,5,0.41909861907613877,0.9127808517440953
mlp2_mnist,sgd,1042,6,0.393642692860455,0.9056884256783718
mlp2_mnist,sgd,1042,7,0.37381248071845247,0.9076496829750095
mlp2_mnist,sgd,1042,8,0.3571064815513152,0.9019910486431019
mlp2_mnist,sgd,1042,9,0.34373219755785095,0.901401829603715
mlp2_mnist,sgd,1042,10,0.33090347474035503,0.8982783124070799
mlp2_mnist,sgd,1042,11,0.31974135819603205,0.8959845955124804
mlp2_mnist,sgd,1042,12,0.31011689533689574,0.8922742626237984
mlp2_mnist,sgd,1042,13,0.30149823499116796,0.8930858352950575
mlp2_mnist,sgd,1042,14,0.293284286297738,0.8850480491894545
mlp2_mnist,sgd,1042,15,0.2857071908547153,0.8871712377546076
mlp2_mnist,sgd,1042,16,0.27841823776008573,0.8841759231506208
mlp2_mnist,sgd,1042,17,0.2718027029079427,0.8821360096758238
mlp2_mnist,sgd,1042,18,0.26602588925991555,0.8757264203058754
mlp2_mnist,sgd,1042,19,0.260381027296038,0.8739093538087409
mlp2_mnist,sgd,1042,20,0.25377497919344133,0.8755763325255418
mlp2_mnist,sgd,1042,21,0.24679490143623947,0.8713437963347634
mlp2_mnist,sgd,1042,22,0.24112751151064263,0.8686152733773321
mlp2_mnist,sgd,1042,23,0.23543100696167227,0.8655325977246626
mlp2_mnist,sgd,1042,24,0.22984480561595033,0.8647671065438016
mlp2_mnist,sgd,1042,25,0.22505987240798056,0.8629469643068856
mlp2_mnist,sgd,1042,26,0.2193844356340217,0.8597491597014036
mlp2_mnist,sgd,1042,27,0.2137555365964689,0.8584840643040078
mlp2_mnist,sgd,1042,28,0.20865202758497323,0.8533830803918306
mlp2_mnist,sgd,1042,29,0.20366840135745912,0.8543627815796387
mlp2_mnist,sgd,1042,30,0.19957871906356078,0.8540968249521919
mlp2_mnist,sgd,1042,31,0.19451574242032818,0.8459121254747789
mlp2_mnist,sgd,1042,32,0.18937114216308248,0.8485673007585268
mlp2_mnist,sgd,1042,33,0.18432683006152964,0.8436531238357509
mlp2_mnist,sgd,1042,34,0.1788647060249728,0.8421354867838349
mlp2_mnist,sgd,1042,35,0.17329157275840473,0.8421920508748586
mlp2_mnist,sgd,1042,36,0.16826798360493597,0.8376565934216793
mlp2_mnist,sgd,1042,37,0.16215512349957803,0.8382468628722368
mlp2_mnist,sgd,1042,38,0.1577939675567513,0.8324330104739852
mlp2_mnist,sgd,1042,39,0.15271578660803345,0.8325406244452737
mlp2_mnist,sgd,1042,40,0.1482490294739252,0.8299721740748138
mlp2_mnist,sgd,2042,0,1.0,1.0
mlp2_mnist,sgd,2042,1,0.701996372594116,0.8907916969139291
mlp2_mnist,sgd,2042,2,0.5682134318319304,0.9103584363751464
mlp2_mnist,sgd,2042,3,0.4917892095098751,0.9122274001779175
mlp2_mnist,sgd,2042,4,0.44269360484317644,0.907594499298087
mlp2_mnist,sgd,2042,5,0.40840861914527815,0.9054007785834094
mlp2_mnist,sgd,2042,6,0.3839721270141711,0.9041035156998013
mlp2_mnist,sgd,2042,7,0.36393404464365026,0.8998312400095093
mlp2_mnist,sgd,2042,8,0.3469006562609022,0.9000822478942521
mlp2_mnist,sgd,2042,9,0.33334713726463744,0.8948370176397709
mlp2_mnist,sgd,2042,10,0.3231201733686908,0.8931762098032293
mlp2_mnist,sgd,2042,11,0.31312871333493697,0.8891774280044165
mlp2_mnist,sgd,2042,12,0.3022636953615497,0.8911882936905952
mlp2_mnist,sgd,2042,13,0.29421614444408817,0.8804019869073103
mlp2_mnist,sgd,2042,14,0.2873118030199629,0.8857747471993459
